loc_name,dqNotesIP,dqNotesOP,dqNotesBeds
National Waiting Times Centre,"SMR01 completeness for the National Waiting Times Centre (NWTC) for quarter ending June 2024 was 97%.  

Increases were seen in all inpatient and day case activity when comparing April-June 2024 to the same quarter last year. This is likely due to the remobilisation of services and a planned increase in activity.  However, it should be noted that any changes are based on relatively small numbers, which will impact on the percentage change.

From the pandemic onwards, the Golden Jubilee National Hospital has been broadening its scope of work and has been receiving a lot of new activity from other NHS Boards across various specialties.  Since the end of the pandemic, there has been a long-term expansion plan to take on more General Surgery cases, which includes diagnostic endoscopies, colorectal, upper and lower GI. The hospital has been increasing their theatre capacity in line with their new theatre expansion in August/September 2024. This will see an increase in both General Surgery and Orthopaedics. The NWTC also advised that they expect some variation and peaks in monthly general surgery episode activity due to seasonality, workforce and monthly allocations. ","SMR00 completeness (new attendances only) for the NWTC for the quarter ending June 2024 was 100%.

Increases were seen in overall outpatient activity when comparing April-June 2024 to the same quarter of the previous year. This is most likely due to the remobilisation of services and a planned increase in activity. New outpatient activity increased, while return outpatient activity decreased. However, it should be noted that any changes are based on relatively small numbers, which will impact on the percentage change.

Increases were   observed in attendances for the Trauma and Orthopaedic Surgery specialty compared with last year which had decreases in this activity. Data Management has advised that the increase in the NWTC outpatient activity is linked to an increase in the See & Treat volumes. Most NHS Boards were sending long wait treats to the NWTC. This trend changed when the NWTC asked NHS Boards to send a blend of See & Treat and Treat to maximise the use of their outpatient capacity.

Decreases were seen in new attendances for the Ophthalmology specialty from July 2023 until March 2024. The board advised that this may be attributed to seasonal variation. From April 2024, activity has since increased to previous levels prior to the decline. 

From the pandemic onwards,  the Golden Jubilee National Hospital has been broadening its scope of work and has been receiving a lot of new activity from other NHS Boards across various specialties.  Since the end of the pandemic, there has been a long-term expansion plan to take on more General Surgery cases, which includes diagnostic endoscopies, colorectal, upper and lower GI. The hospital has been increasing their theatre capacity in line with their new theatre expansion in August/September 2024. This will see an increase in both General Surgery and Orthopaedics. The NWTC also advised that they expect some variation and peaks in monthly general surgery episode activity due to seasonality, workforce and monthly allocations.
","Increases were seen in the average number of available staffed beds and percentage occupancy when comparing April-June 2024 to the same quarter of the previous year. This is likely due to the remobilisation of services and a planned increase in activity. However, it should be noted that any changes are based on relatively small numbers, which will impact on the percentage change.

 From the pandemic onwards, the Golden Jubilee National Hospital has been broadening its scope of work and has been receiving a lot of new activity from other NHS Boards across various specialties.  Since the end of the pandemic, there has been a long-term expansion plan to take on more General Surgery cases, which includes diagnostic endoscopies, colorectal, upper and lower GI. The hospital has been increasing their theatre capacity in line with their new theatre expansion in August/September 2024. This will see an increase in both General Surgery and Orthopaedics. The NWTC also advised that they expect some variation and peaks in monthly general surgery episode activity due to seasonality, workforce and monthly allocations. "
NHS Ayrshire & Arran,"SMR01 completeness for NHS Ayrshire & Arran for the quarter ending June 2024 was 100%.

Increases were seen in overall inpatient and day case activity when comparing April-June 2024 to the same quarter last year. Day case activity and emergency inpatient activity increased. This is likely due to the remobilisation of services and a planned increase in activity. Elective inpatient activity decreased. 

Decreases were seen in the number of Ayrshire and Arran resident patients treated at the Golden Jubilee University National Hospital (GJNH). The board advised that this is due to a change in the allocation of capacity, coordinated by the Scottish Government team with the GJNH. ","SMR00 completeness (new attendances only) for NHS Ayrshire & Arran for the quarter ending June 2024 was 100%.

Overall outpatient activity decreased slightly when comparing April-June 2024 to the same quarter of the previous year. Return outpatient activity increased, while new outpatient activity decreased.","Decreases were seen in the average number of available staffed beds, while increases were observed in the percentage occupancy when comparing April-June 2024 to the same quarter of the previous year. The percentage occupancy increase is likely due to the remobilisation of services.

NHS Ayrshire & Arran has seen a decrease in average available staffed beds for all acute specialties from April 2023 onwards. The board have advised that this is due to a planned reorganisation of services. "
NHS Borders,"SMR01 completeness for NHS Borders for the quarter ending June 2024 was 95%. 

Increases were seen in overall inpatient and day case activity when comparing April-June 2024 to the same quarter last year. Day case activity increased. This is likely due to the remobilisation of services and a planned increase in activity. Emergency and elective inpatient activity decreased. 

Gradual increases have been seen in both clinical and medical oncology day case episodes since January 2023 onwards. Data Management have advised that some activity has been incorrectly submitted. The board are currently investigating and will provide an update to Data Management  in due course. 

Large increases in day cases are a planned increase in activity due to a change in practice to enable this activity. For example the board went going live with Ambulatory Emergency Care (AEC cases) as day case activity from May 2022 onwards.","SMR00 completeness for NHS Borders (new attendances only) for the quarter ending June 2024 was 98%.

Increases were seen in overall outpatient activity when comparing April-June 2024 to the same quarter of the previous year. Return outpatient activity decreased, while new outpatient activity increased.

Decreases were    seen in return outpatient attendances in the specialty of Psychiatry of Old Age specialty. Data Management is currently investigating this with the board.

Increases were seen in new outpatient attendances in the specialty of General Psychiatry. This is due to fewer records being submitted using an 'unknown location' code. The board have amended clinic templates to record the location code of the clinic instead.   

NHS Borders    have several records being coded with the Domiciliary Location 'D201N'. The board have advised that this activity is for Health Care Support Workers and should not be recorded on SMR00. The board are working to resolve this issue and stop recording this activity on SMR00. The board have further advised that Community Mental Health Team activity is also being recorded under the domiciliary location. PHS is considering how this activity should be recorded in the future. ","Increases were seen in the average number of available staffed bed, while percentage occupancy decreased slightly when comparing April-June 2024  to the same quarter of the previous year. NHS Borders bed numbers appear to be returning to similar pre-pandemic levels. 

 "
NHS Dumfries & Galloway,"SMR01 completeness for NHS Dumfries & Galloway for quarter ending June 2024 was 98%.

Increases were seen in all inpatient and day case activity when comparing April-June 2024 to the same quarter last year. This is likely due to the remobilisation of services and a planned increase in activity. NHS Dumfries & Galloway inpatient and day case activity appears to be returning to similar pre-pandemic levels.

Decreases have been seen in day cases and elective inpatient activity in the Ophthalmology specialty. The board have said that this is due to staff shortages impacting the number of procedures performed.","SMR00 completeness (new attendances only) for NHS Dumfries & Galloway for the quarter ending June 2024 was 93%. Data Management has advised that there is a continuing NHS Dumfries & Galloway backlog, but they are investigating records that may have been rejected. PHS Data Management has received no SMR00 Child & Adolescent Psychiatry records since March 2023 as the board is unable to extract these from their Morse system. Currently there is no indication when this is likely to be resolved by NHS Dumfries & Galloway  .

Decreases were seen in all outpatient activity, particularly return outpatients when comparing April-June 2024 to the same quarter of the previous year. NHS Dumfries & Galloway return outpatients have been decreasing since July 2022 onwards. Data Management is currently investigating this with the board.    New outpatient activity increased slightly. 

Steep decreases were seen in CAMHS outpatient activity for NHS Dumfries & Galloway from January 2023 onward. This is due to an issue with their Morse clinical records system mentioned above.   Work is ongoing to resolve this issue.

There has been  a change in activity for the Ears, Nose & Throat (ENT) and General Surgery specialties. The board has advised that for ENT they changed their outpatient templates back to the pre-covid ones. This refers to how the clinics were being run as there were limitations put in place due to Covid to allow time for cleaning etc. In addition to this, they have experienced increased cancellations in theatre sessions due to staffing issues, so the sessions were converted to outpatient clinic time for the consultants. For General Surgery, there will have been some impact from the above but there has also been an increased number of clinics available to increase capacity.

Decreases were seen in return outpatients within the Ophthalmology, Endocrinology & Diabetes, and Paediatrics specialties. The board advised that these decreases are largely due to staff shortages and staff illnesses. 
 ","Increases were seen in the average number of available staffed beds when comparing April-June 2024 to the same quarter of the previous year. This is likely due to the remobilisation of services and a planned increase in activity. The percentage occupancy decreased during the same period.

  "
NHS Fife,"SMR01 completeness for NHS Fife for the quarter ending June 2024 was 88%.  Data Management has advised that the SMR backlog is due to resourcing issues such as staff shortages and training. However, the historic backlog issues for previous quarters have been resolved.

Decreases were seen in overall inpatient and day case activity and elective and emergency inpatient activity when comparing April-June 2024 to the same quarter last year. This is likely due to the SMR backlog. Day case activity increased. 

Since March 2023, the National Treatment Centre (NTC) in NHS Fife has been undertaking inpatient and day case activity. It is important to note that not all NTCs have a unique location code, and may be an expansion of an existing location, it is not currently possible to accurately differentiate between NTC activity and additional activity carried out within an NHS Board. Therefore, NTC figures reported may not be reflective of all NTC activity.","SMR00 completeness (new attendances only) for NHS Fife for the quarter ending June 2024 was 100%. Due to TrakCare    issues, NHS Fife were unable to submit ISD(S)1 outpatient data for December 2023, therefore estimates have been applied. This issue has been escalated to InterSystems, and they are currently looking into the issue.

Increases were seen in all outpatient activity when comparing April-June 2024 to the same quarter of the previous year. This is most likely due to the remobilisation of services and a planned increase in activity. 

Decreases were seen in new outpatient attendances in the specialty of Obstetrics at Queen Margaret Hospital (QMH) from April 2022 onwards. The board have advised that new booking appointments at QMH for the GP practice appear to no longer be captured within Trak. The query has been sent on to the Service by data management for investigation and response. 

Since March 2023, the National Treatment Centre (NTC) in NHS Fife has been undertaking outpatient activity. It is important to note that not all NTCs have a unique location code, and may be an expansion of an existing location, it is not currently possible to accurately differentiate between NTC activity and additional activity carried out within an NHS Board. Therefore, NTC figures reported may not be reflective of all NTC activity.
","Decreases were seen in the average number of available staffed beds while percentage occupancy increased when comparing April-June 2024 to the same quarter of the previous year. The percentage occupancy increase is likely due to the remobilisation of services.

Since March 2023, the National Treatment Centre (NTC) in NHS Fife    has been undertaking inpatient and day case activity. It is important to note that not all NTCs have a unique location code, and may be an expansion of an existing location, it is not currently possible to accurately differentiate between NTC activity and additional activity carried out within an NHS Board. Therefore, NTC figures reported may not be reflective of all NTC activity."
NHS Forth Valley,"SMR01 completeness for NHS Forth Valley for the quarter ending June 2024 was 97%.

Increases were seen in all inpatient and day case activity when comparing April-June 2024 to the same quarter last year. This is likely due to the remobilisation of services and a planned increase in activity. NHS Forth Valley inpatient and day case activity appears to be returning to similar pre-pandemic levels.

Increases were seen in day case activity in the Trauma and Orthopaedics specialty. The board has advised that the increase was to ensure that theatre capacity was utilised fully by booking more day case procedures than inpatient procedures. Another reason could be that the Minor Op rooms being opened within Ambulatory Care treats only day case procedures to ensure patients are seen quicker, which has significantly reduced the amount of day case procedures the board currently has on the waiting list.","SMR00 completeness (new attendances only) for NHS Forth Valley for the quarter ending June 2024 was 100%.

Increases were seen in all outpatient activity when comparing April-June 2024 to the same quarter of the previous year.

Large increases have been seen in the Endocrinology & Diabetes specialty return appointments since January 2022. NHS Forth Valley has advised that their service model has changed, and that each episode of screening generates two return appointments as patients come for the tests and then go onto a virtual clinic list for the consultants to do their screening letters. There is a reduction in this activity after mid 2023 due to staff absence resulting in a redistribution of workload to ensure unscheduled services are covered. Data Management are continuing to investigate this with the board.  

Larges increases have been observed in return attendances for the Child & Adolescent Psychiatry specialty within 2024. Data Management is currently investigating this with the board. 

Large decreases have been seen in return attendances for the Obstetrics specialty from April 2023 onwards. Data Management is currently investigating this with the board.  

NHS Forth Valley have several   records being coded with the Domiciliary Location 'D201N'. The board have said that this is due to incorrect locations recorded on their clinic systems and will be fixed going forward.","Decreases were seen in the average number of available staffed beds while percentage occupancy increased when comparing April-June 2024  to the same quarter of the previous year. The percentage occupancy increase is likely due to the remobilisation of services.

From April 2019 onwards, large increases in the average number of available staffed beds have been observed. This is spread across several specialties but particularly in General Medicine, General Surgery, Gastroenterology, Gynaecology and Mental Health specialties. There has since been a reduction in beds for the Mental Health, General Surgery and Gynaecology specialties, but this has not happened in General Medicine and Gastroenterology. In addition, decreases have been seen in the Geriatric Medicine - long stay unit specialty since 2019/20. NHS Forth Valley has previously advised that it has identified a problem with the recording of some of its bed numbers.  "
NHS Grampian,"SMR01 completeness for NHS Grampian for the quarter ending June 2024 was 97%.

Increases were seen in overall inpatient and day case activity when comparing April-June 2024 to the same quarter last year. Emergency inpatient and day case activity increased. This is likely due to the remobilisation of services and a planned increase in activity. Elective inpatient activity decreased. 

During 2023 (mainly October-December 2023), decreases have been seen in day cases, predominately driven by Aberdeen Royal Infirmary across several specialties: Gastroenterology, General Surgery, Ophthalmology, and Urology. From 2024 onwards, this activity has since increased returning to previous levels. Data Management is currently investigating this with the board.","SMR00 completeness (new attendances only) for NHS Grampian for the quarter ending June 2024 was 92%. Data Management has advised that NHS Grampian said their SMR backlog could be due to records sitting in error unsent because of a postcode issue. The board will resolve this for the next submission.

Increases were seen in overall outpatient activity when comparing April-June 2024  to the same quarter of the previous year. This is most likely due to the remobilisation of services and a planned increase in activity. Return outpatient activity increased, while new outpatient activity decreased.

Increases have been observed in return attendances for the Clinical Oncology specialty from 2019 onwards. The board has advised that this activity was previously nurse-led and is now consultant-led. In addition, there has been a joining-up of Oncology services within the board.  

Large decreases have been observed in attendances for the Dermatology specialty from 2023 onwards at Aberdeen Royal Infirmary Hospital. NHS Grampian said these decreases are likely attributable to consultants in Dermatology who were part of the independent sector contract, which terminated at the end of March 2023.    

Large increases have been seen in July-September 2023 return attendances for the General Psychiatry specialty when comparing this November publication to the previous publication in May 2024. Data Management is currently investigating this with the board. 
",The average number of available staffed beds and percentage occupancy increased when comparing April-June 2024 to the same quarter of the previous year. This is likely due to the remobilisation of services and a planned increase in activity. 
NHS Greater Glasgow & Clyde,"SMR01 completeness for NHS Greater Glasgow & Clyde for the quarter ending June 2024 was 99%.

Increases were seen in all inpatient and day case activity when comparing April-June 2024 to the same quarter last year. This is likely due to the remobilisation of services and a planned increase in activity. ","SMR00 completeness (new attendances only) for NHS Greater Glasgow & Clyde for the quarter ending June 2024 was 100%.

Increases were seen in all outpatient activity when comparing April-June 2024 to the same quarter of the previous year. This is most likely due to the remobilisation of services and a planned increase in activity.","Decreases were seen in the average number of available staffed beds, while increases were observed in the percentage occupancy when comparing April-June 2024 to the same quarter of the previous year. The percentage occupancy increase is likely due to the remobilisation of services. 

From January 2023 onwards, NHS Greater Glasgow & Clyde stopped recording beds for several nursing homes. Data Management is currently investigating this with the board "
